DUMMY_LINE,,,,,,,,,,,,,
graham_book_corrupt_01,"罗宾是一个从来都不会放弃的人。他们最终因此陷入了怎样的结局呢？          \n小时候，他们经常因为坚持不懈而受到表扬和奖励。\n成年后，他们也因固执而被责骂、被解雇。\n我想用两个不同的词来形容同一种精神。\n不知为何，他们坚持要被他们的神“加冕”。\n这是证明罗宾确实是最优秀、最强大、最聪明的神圣方式。\n当然......它们不是那些东西。差远了，我想罗宾也知道这一点。",,,,,,,,,,,
graham_book_corrupt_02,"不知何故，我在很小的时候就和他们成为了朋友。\n令我不满的是，他们几乎在所有事情上都比我更有才华。\n令人震惊的是，我们的友谊在我们离开学校后持续了好几年，\n直到友谊最终破裂......这一切都归功于罗宾自己的顽固本性。\n我不断听到罗宾的故事和他们可怕又傲慢的计划，但我仍然对他们抱有一些尊重。          \n当年我在意的那些小事......现在看来真蠢啊。",,,,,,,,,,,,
graham_book_corrupt_03,"有一天，罗宾突然失踪了。一周过去了......我说服自己这是某种吸引眼球的噱头。\n我想去他们家看看并训斥他们。我想着“他们一定只是暂时低调，为了让人们好奇”。                    \n我以为他们会在一两个月后突然出现，讲述一些关于他们冒险的宏大故事，\n并再次成为镇上的最受欢迎的人。\n但他们再也没有回来。我去了他们的家，但那里只剩下一堆快要熄灭的灰烬。",,,,,,,,,,,,
graham_book_corrupt_04,"看来他们是打算把一切都抛在脑后。我搜遍了整个地区，\n试图找到任何可以证明他们曾经生活在这里的东西。\n这里什么都没有。就好像他们根本不曾存在过一样。 当然，除了村里人的哀悼。                 \n他们每天都哭泣，谈论罗宾，向众神祈祷希望获得帮助。\n我变得更加孤立。\n一切似乎都不再有意义了。这个人，这个我早已抛弃的朋友......\n为什么他们直到现在仍然对我影响如此之大？",,,,,,,,,,,,
graham_book_corrupt_05,"在我们年轻的时候，罗宾和我经常走遍我们的村庄及其周围的土地。\n但有一个地方我们从未去过。\n一个被木板封起来洞穴入口，上面贴满了危险怪物的警告标志。\n我沉浸在零散的思绪中，来到了这个我们曾坐在外面的地方，幻想了几个小时里面可能有什么。          \n但这一次木板不见了。它被扯下来扔到地上，旁边还有一个打火机和一个小笔记本。",,,,,,,,,,,,
graham_book_corrupt_06,"笔记本的书页都被烧焦了，而且还湿漉漉的。我猜一定是罗宾烧掉它不久就下雨了。                 \n文字我完全看不懂，但我认出了他们的笔迹。\n我叹了口气，拿出旅行背包，在附近的空地上坐下。\n夜幕降临时，我点起篝火从包里拿出东西吃并时刻盯着洞口。\n罗宾还在那里面。在他们回来之前我不会离开。",,,,,,,,,,,,
graham_book_corrupt_07,"于是我等了好几个星期。当我的食物即将耗尽时，他们出现了。                 \n他们浑身是血，遍体鳞伤，身后拖着一只巨型蜘蛛的尸体。\n他们看起来瘦得可怕--显然，那个山洞里本来就没有多少食物。\n最令人惊讶的是：他们似乎根本没有注意到我。\n他们低着头，拖着尸体慢慢地从我身边走过。\n他们沿着路，向我们简陋的小镇走去。\n他们到底在做什么？",,,,,,,,,,,,
graham_book_corrupt_08,"他们边走边大声的自言自语。似乎正处于疯狂的边缘--这并不让我感到惊讶。          \n他们终于配得上，受到所有人的爱戴，加冕......\n看到这些真是令人作呕。他们身后留下了很多东西。\n我跟着他们来到了镇中心。人们惊恐地看着......有些人哭了起来。\n“那是罗宾吗？！这么久之后又回来了？！”\n他们继续走着，越走越远......来到了小镇中央的祭坛前。\n他们将尸体放在祭坛上，跪下，仰望天空开始祈祷。",,,,,,,,,,,,
DUMMY_LINE,,,,,,,,,,,,,
